Wahl;Wahlsprengel;Wahlberechtigte;abgegebene Stimmen;gültige Stimmen;SPÖ;FPÖ;ÖVP;GRÜNE;NEOS;KPÖ;LINZ;VOLT;WANDL;MFG;R
"GR21";"222";581;305;295;118;53;56;30;10;12;0;1;8;7;0
"GR21";"223";702;342;333;132;44;66;45;10;8;8;0;4;16;0
"GR21";"240";728;305;298;116;58;44;39;8;8;3;0;2;20;0
"GR21";"241";642;345;334;121;55;53;47;10;10;17;0;6;15;0
"GR21";"242";754;354;345;104;34;49;75;26;18;24;0;3;10;2
"GR21";"243";686;303;298;92;23;56;64;14;18;11;0;8;12;0
"GR21";"244";713;349;342;86;27;73;79;13;24;15;1;9;14;1
"GR21";"245";649;382;371;136;30;85;53;18;8;23;1;2;14;1
"GR21";"246";639;345;335;101;51;63;53;17;10;15;0;2;23;0
"GR21";"260";706;376;368;84;42;55;105;24;22;18;1;7;9;1
"GR21";"261";696;320;316;110;48;44;64;9;16;10;0;6;9;0
"GR21";"263";828;371;362;148;50;23;72;22;16;11;3;3;14;0
"GR21";"264";846;423;415;146;66;39;82;15;22;14;2;7;22;0
"GR21";"265";697;295;289;122;34;49;30;15;15;8;1;4;10;1
"GR21";"266";678;286;280;133;31;22;35;13;6;25;1;5;9;0
"GR21";"267";698;302;294;145;59;38;20;5;8;3;0;5;11;0
"GR21";"268";739;257;252;90;34;44;37;13;14;6;0;2;12;0
"GR21";"269";800;344;333;166;76;22;23;8;14;6;0;5;13;0
"GR21";"280";714;430;425;113;53;91;88;17;16;17;0;8;21;1
"GR21";"281";762;307;294;97;67;33;48;15;10;7;0;5;12;0
"GR21";"283";721;320;314;137;37;40;42;15;16;7;0;5;14;1
"GR21";"284";872;387;376;169;84;46;26;11;13;7;0;2;16;2
"GR21";"285";705;299;286;125;54;28;38;7;8;8;1;3;14;0
"GR21";"288";604;262;246;106;75;12;15;4;16;0;0;5;13;0
"GR21";"289";585;244;240;124;49;30;13;1;10;7;0;3;3;0
